Title,Subtitle,Price,Location
"Casagrand Promenade
NEW BOOKING","3, 4 BHK Apartment in Yelahanka, Bangalore","3 BHK Apartment
₹1.46 - 1.66 Cr
4 BHK Apartment
₹2.04 - 2.08 Cr","Nearby :
Royale Concorde International School
Kempegowda Airport Bengaluru
+3"
"Lodha Elanza
NEW BOOKING","3 BHK Apartment in Sarjapur Road, Bangalore","3 BHK Apartment
₹2.45 - 3.64 Cr","Nearby :
Oakridge International School
Swastik Hospitals
+3"
"Lodha Haven
NEW BOOKING","3, 4 BHK Apartment in Hosa Road, Bangalore","3 BHK Apartment
₹2.9 Cr
4 BHK Apartment
₹4.69 Cr","Nearby :
Cambridge International School
PES University
+3"
"Sapthagiri Fortune City
NEW BOOKING","Land in Nelamangala, Bangalore","Land
₹33.6 - 42 L","Nearby :
NICE Road
Kunigal Road
+3"
"Myhna Vistara
NEW BOOKING","3, 4 BHK Apartment in Gunjur, Near Varthur, Bangalore","3 BHK Apartment
₹1.57 - 1.76 Cr
4 BHK Apartment
₹2.57 - 2.67 Cr","Nearby :
Krupanidhi school of management
VIBGYOR Rise School
+3"
"Udbhav Gokulam
NEW BOOKING","3 BHK Apartment in Varthur, Bangalore","3 BHK Apartment
₹1.16 - 1.53 Cr","Nearby :
VIBGYOR High School
Vitals Hospital
+3"
"Happy Homes Trikuta
NEW BOOKING","2, 3 BHK Apartment in Yamare, Sarjapur Road","2 BHK Apartment
₹59.5 - 61.77 L
3 BHK Apartment
₹80.5 - 83.81 L",NA
"Assetz 22 and CREST
NEW BOOKING","3 BHK Apartment in Yeshwanthpur, Bangalore","3 BHK Apartment
₹2.58 - 3.28 Cr","Nearby :
Kempegowda Airport
Manipal Hospital Yeshwanthpur
+3"
"Keya Around The Life
3.4
NEW BOOKING","4 BHK Apartment in Whitefield, Bangalore","4 BHK Apartment
₹2.7 - 2.98 Cr","Nearby :
State Highway 35
Sri Sathya Sai Institute
+3"
"Trifecta Vanto
NEW BOOKING","2, 3 BHK Apartment in Sarjapur Road, Bangalore","2 BHK Apartment
₹1.19 - 1.35 Cr
3 BHK Apartment
₹1.48 - 2.04 Cr","Nearby :
Harvest International School
Wipro SEZ
+3"
"Binary Etania
NEW BOOKING","3 BHK Apartment in Sarjapur Road, Bangalore","3 BHK Apartment
₹1.2 - 1.21 Cr","Nearby :
Azim Premji University
National Highway 648
+3"
"Assetz Sora and Saki
NEW BOOKING","3, 4 BHK Apartment in Bagalur, Bangalore","3 BHK Apartment
₹1.94 Cr
4 BHK Apartment
₹2.36 Cr","Nearby :
BK Halli Highway
CMR University
+3"
"Sree Adithya Pride
NEW BOOKING","2, 3 BHK Apartment in KR Puram, Bangalore","2 BHK Apartment
₹85.43 - 91.28 L
3 BHK Apartment
₹1.04 - 1.44 Cr","Nearby :
ORCHIDS The International School
Garden City University
+3"
"Lodha Azur
NEW BOOKING","3 BHK Apartment in Bannerghatta Road, Bangalore","3 BHK Apartment
₹2.37 - 2.99 Cr","Nearby :
Royal Meenakshi Mall
Vega City Mall
+3"
"Sri Sai Nandana Crystal
NEW BOOKING","2, 3 BHK Apartment in Sarjapur Road, Bangalore","2 BHK Apartment
₹77.04 - 84.96 L
3 BHK Apartment
₹92.52 L - 1.17 Cr","Nearby :
Confident Oxygen Mall
Oakridge International School
+3"
"Vasudha Parkone
NEW BOOKING","2, 3 BHK Apartment in Uttarahalli, Bangalore","2 BHK Apartment
₹91.23 - 91.74 L
3 BHK Apartment
₹99.07 L - 1.03 Cr","Nearby :
Hospital
Park
+1"
"The Oyster in Your Palm by MH
NEW BOOKING","Land in Chikkaballapur, Bangalore","Land
₹50.4 L - 1.01 Cr","Nearby :
National Highway 44
Nagarjuna College of Engineering
+3"
"Vainavi Celestium
NEW BOOKING","3, 4 BHK Apartment in Puttenahalli, 7th Phase JP Nagar","3 BHK Apartment
₹3.03 - 3.42 Cr
4 BHK Apartment
₹3.36 - 3.71 Cr","Nearby :
Yelachenahalli Metro Station
Supurva Hospital
+3"
"Mega Royal Enclave
NEW BOOKING","2, 3 BHK Apartment in Tumkur Road, Bangalore","2 BHK Apartment
₹94.5 L - 1.1 Cr
3 BHK Apartment
₹1.26 - 1.57 Cr","Nearby :
Peenya Subway Station
Brigade Rubix
+3"
"SNN Estates Felicity
NEW BOOKING","1, 2, 3, 4 BHK Apartment in Thanisandra, Bangalore","1 BHK Apartment
₹90.43 - 92.3 L
2 BHK Apartment
₹1.37 - 1.57 Cr
3 BHK Apartment
₹1.74 - 2.18 Cr
4 BHK Apartment
₹2.4 - 2.98 Cr","Nearby :
VIBGYOR High School
Manipal Hospital Hebbal
+3"
"Vikaas White Land Meadows
NEW BOOKING","Land in Harohalli, Kanakapura Road","Land
₹47.99 L - 1.2 Cr","Nearby :
Dayanand Sagar University
Harohalli Indl Area
+2"
"PMV Emerald Valley
NEW BOOKING","Land in Kanakapura, Kanakapura Road","Land
₹29.99 - 59.98 L","Nearby :
Saketh Mother Teresa School
Govt ITI Doddalahalli
+3"
"Maruti Akrida
NEW BOOKING","2, 3, 4 BHK Apartment in Sarjapur, Bangalore","2 BHK Apartment
₹70.93 - 81.76 L
3 BHK Apartment
₹95.31 L - 1.01 Cr
4 BHK Apartment
₹1.44 Cr","Nearby :
Gurukul High The Intl School
N.R. Hospital
+3"
"Aditya Raaga
NEW BOOKING","2, 3 BHK Apartment in Begur Road, Bangalore","2 BHK Apartment
₹1.05 - 1.1 Cr
3 BHK Apartment
₹94.96 L - 1.48 Cr","Nearby :
Camry Hospitals
Manipal University
+3"
"Platinum East Woods
NEW BOOKING","2, 3, 4 BHK Apartment in Whitefield, Bangalore","2 BHK Apartment
₹1.01 - 1.31 Cr
3 BHK Apartment
₹1.37 - 2.09 Cr
4 BHK Apartment
₹2.14 - 2.48 Cr","Nearby :
Jain Heritage School
Whitefield - Hoskote road (SH 35)
+3"
"Axis Oaklyn
NEW BOOKING","2 BHK Apartment in Yelahanka, Bangalore","2 BHK Apartment
₹1.04 - 1.15 Cr","Nearby :
N R V Hospital
Oxford English School
+3"
"Prestige Somerville
NEW BOOKING","2, 3, 4 BHK Apartment in Whitefield, Bangalore","2 BHK Apartment
₹1.98 - 2.55 Cr
3 BHK Apartment
₹2.93 - 4.49 Cr
4 BHK Apartment
₹4.32 - 5.85 Cr","Nearby :
Sigma Tech Park
Manipal Hospital
+3"
"Veda Vilasa Villaments
NEW BOOKING","3, 4 BHK Villa in Kengeri, Bangalore","3 BHK Villa
₹3.65 Cr
4 BHK Villa
₹4.72 Cr","Nearby :
Kewngeri Metro Station
Mysore Road Highway
+3"
"SB Urban Park
NEW BOOKING","3 BHK Apartment in Manyata Tech Park, Thanisandra Main Road","3 BHK Apartment
₹1.85 - 2.36 Cr","Nearby :
Manyata Tech Park
Sri Vivekananda Public School
+3"
"Subha Ecostone
NEW BOOKING","3 BHK Villa in Chandapura, Bangalore","3 BHK Villa
₹2 - 5.29 Cr","Nearby :
Triumph World School
ChinnaReddy BizPark
+3"
"Yuva Blue Meadows Phase 2
NEW BOOKING","2, 3 BHK Apartment in Varthur, Bangalore","2 BHK Apartment
₹88.62 L - 1 Cr
3 BHK Apartment
₹1.01 - 1.38 Cr","Nearby :
State Highway 35
Varthur Government PU College
+3"
"Inspira Winds of Life
NEW BOOKING","3 BHK Apartment in Sarjapur Road, Bangalore","3 BHK Apartment
₹1.47 - 2.14 Cr","Nearby :
Azim Premji University
Town Hospital Sarjapura
+3"
"The Imperial Address
NEW BOOKING","Land in Chandapura, Bangalore","Land
₹1.2 - 1.6 Cr","Nearby :
Alliance University
New Baldwin International School
+3"
